pres,cond,temp
312,32.6237696853131,4.02828377700617
314,32.6076842884664,4.01011011904762
316,32.6211863361669,4.02377202380952
318,32.6082158009639,4.00997359283626
320,32.5877511789345,3.98644809854497
322,32.580186321012,3.97722299768518
324,32.5818683510998,3.97841969907407
326,32.5782585441993,3.97465689709596
328,32.5641608298413,3.95769183006536
330,32.5550804703574,3.94753385416667
332,32.5436039497996,3.93421469184028
334,32.5361774376334,3.92483586309524
336,32.5370400987111,3.92535801767677
338,32.5423994635737,3.93069146825397
340,32.5306982988433,3.91734353298611
342,32.5201866301964,3.90459750816993
344,32.516024329911,3.8987918494152
346,32.5195871781793,3.90234337705761
348,32.5175515899652,3.89947847222222
350,32.5069908543431,3.88717291666667
352,32.4951041874503,3.87295677997076
354,32.4942769965489,3.87127468434343
