time,temp,pres
736789.010416667,3.37229912954065,184.039883576061
736789.020833333,3.38059070428855,183.917137755724
736789.03125,3.38459539215703,184.02487558824
736789.041666667,3.3892948860513,184.153859638429
736789.052083333,3.38710246392352,184.154
736789.0625,3.38829861764711,184.090073725487
736789.072916667,3.39109695339226,184.025070724823
736789.083333333,3.38330873572883,184.067951841495
736789.09375,3.37870529901941,183.853247671559
736789.104166667,3.37530369945225,184.046788913607
736789.114583333,3.36660974369754,183.782296790787
736789.125,3.3546138235289,183.760025343136
736789.135416667,3.34531011908999,183.824929275177
736789.145833333,3.33481175963496,183.76007279774
736789.15625,3.32521105882312,183.609173946072
736789.166666667,3.30921740918708,183.502116423939
736789.177083333,3.30140873572883,183.431079517532
736789.1875,3.29280990686238,183.21524882352
736789.197916667,3.28151229523838,183.236976062368
736789.208333333,3.26811500753414,183.17207279774
736789.21875,3.26150760294089,183.172
736789.229166667,3.2506118600087,183.186983678887
736789.239583333,3.22912407925254,183.079120956245
736789.25,3.22300702696052,182.842273014696
736789.260416667,3.21830511394871,182.771077253268
736789.270833333,3.19123035105785,182.75002351927
736789.28125,3.18450771813697,182.814925122552
736789.291666667,3.1793056579858,182.744077253268
736789.302083333,3.16701377557238,182.664089597219
736789.3125,3.16520207352933,182.829808774517
736789.322916667,3.1569090310158,182.657188236835
736789.333333333,3.15670022399305,182.743902563025
736789.34375,3.15530161274504,182.872851397064
736789.354166667,3.15210348183742,182.657235024026
736789.364583333,3.15239966401043,182.850782726745
736789.375,3.15369850245104,182.722148602936
736789.385416667,3.15379989119258,182.786929275177
736789.395833333,3.15519843204867,182.87290368299
736789.40625,3.15460069117644,182.98087558824
736789.416666667,3.16019390678452,182.873117512013
736789.427083333,3.16339641611125,183.02383088525
736789.4375,3.16629665931385,183.044975808824
736789.447916667,3.17958552861324,183.288734509897
736789.458333333,3.19378409649367,183.30997648073
736789.46875,3.20149112990229,183.267049534312
736789.479166667,3.2180819379684,183.380875959542
736789.489583333,3.23108544045195,183.423951841495
736789.5,3.2395902083337,183.553850245104
736789.510416667,3.24918955448775,183.381188236835
736789.520833333,3.25499350420164,183.553806246014
736789.53125,3.25619861764711,183.790726985304
736789.541666667,3.2613943420142,183.704094662455
736789.552083333,3.26749316821207,183.575144475515
736789.5625,3.27169516176489,183.596974656864
736789.572916667,3.27539597412549,183.774806322794
736789.583333333,3.28119350420164,183.704079517532
736789.59375,3.28379700490207,183.710991936275
736789.604166667,3.28719630054775,183.689023937632
736789.614583333,3.29439193625031,183.689
736789.625,3.30229089951014,183.646049534312
736789.635416667,3.30559640935516,183.560093574381
736789.645833333,3.31179305621555,183.64590368299
736789.65625,3.31579539215703,183.545116348035
736789.666666667,3.31649923834807,183.694836788871
736789.677083333,3.31879742407996,183.431295670822
736789.6875,3.3184004607843,183.21524882352
736789.697916667,3.3163022849558,183.236976062368
